id,name
5012463105,D. Scolnic
5018953214,Nathan Smith
5085379866,D. L. Tucker
5073288239,Peter K. G. Williams
5085087662,E. Balbinot
5028668031,Jeffrey L. Carlin
5008349850,Erika Cook
5015416675,F. Durret
5074489986,T. S. Li
5075541967,P. A. A. Lopes
5024095888,Ana Carolina Calijorne Lourenço
5013213350,J. L. Marshall
5008012509,G. E. Medina
5006351673,J. Muir
5047243571,Ricardo R. Muñoz
5034821738,M. Sauseda
5035557006,David J. Schlegel
5002793116,L. F. Secco
5008775856,A. Katherina Vivas
5078283093,W. Wester
5085942452,A. Zenteno
5001966468,Y. Zhang
5050829634,T. M. C. Abbott
5015219615,M. Banerji
5054292749,K. Bechtol
5068804066,A. Benoit-Lévy
5089708177,E. Bertin
5090955695,E. Buckley-Geer
5054843975,D. L. Burke
5020070803,D. Capozzi
5061649022,M. Carrasco Kind
5023412378,F. J. Castander
5059500278,M. Crocce
5074327907,C. E. Cunha
5088381432,C. B. D’Andrea
5031805084,L. N. da Costa
5020362872,C. Davis
5027104111,D. L. DePoy
5016822583,S. Desai
5068414278,J. P. Dietrich
5075015082,A. Drlica-Wagner
5065665797,T. F. Eifler
5086464324,A. E. Evrard
5013987893,E. Fernández
5088901241,B. Flaugher
5059408574,P. Fosalba
5062801348,E. Gaztañaga
5036524287,D. W. Gerdes
5078262224,T. Giannantonio
5009500371,D. Goldstein
5022353207,David Gruen
5068870030,R. A. Gruendl
5050773358,G. Gutiérrez
5063161579,K. Honscheid
5025778827,Bhuvnesh Jain
5048594566,D. J. James
5007311582,T. Jeltema
5081684826,M. W. G. Johnson
5035489414,Michael D. Johnson
5041111005,Maxwell Moe
5055029969,Rosanne Di Stefano
5060482326,Eduardo Bañados
5047687282,Bram Venemans
5051101155,Chiara Mazzucchelli
5046272470,Emanuele Paolo Farina
5009520028,Fabian Walter
5047350166,Feige Wang
5090206203,Roberto Decarli
5030771447,Daniel Stern
5055874523,Frederick B. Davies
5018266021,Joseph F. Hennawi
5082216456,Robert A. Simcoe
5001682739,Monica L. Turner
5061006497,H. W. Rix
5025903049,Jinyi Yang
5084948126,Daniel D. Kelson
5005767057,Gwen C. Rudie
5008695353,J. M. Winters
5017118604,Henry D. Adams
5056969781,Melanie Zeppel
5064419863,William R. L. Anderegg
5045433459,Henrik Hartmann
5080519331,Simon M. Landhäusser
5080872209,David T. Tissue
5000868264,Travis E. Huxman
5007791890,Patrick J. Hudson
